"date","Albania","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Euro area","European Union (current composition)","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Montenegro","Netherlands","North Macedonia","Poland","Portugal","Romania","Serbia","Slovak Republic","Slovenia","Spain","Sweden","Turkey","United Kingdom"
1987-11-01,NA,NA,30.7,NA,NA,NA,NA,31,NA,31.8,31.8,14.4,26.4,33.8,29.7,NA,49.2,43.4,NA,NA,NA,NA,NA,9.8,NA,NA,12.7,NA,NA,NA,NA,30.1,NA,NA,2
1987-12-01,NA,NA,24.9,NA,NA,NA,NA,48,NA,33.3,33.7,14.4,24,43.2,28.6,NA,44.5,41.6,NA,NA,NA,NA,NA,6.7,NA,NA,10.7,NA,NA,NA,NA,28.8,NA,NA,0
1988-01-01,NA,NA,24.4,NA,NA,NA,NA,36.4,NA,32.9,33,14.4,22.8,43,23.1,NA,40.4,38.5,NA,NA,NA,NA,NA,18.7,NA,NA,11.5,NA,NA,NA,NA,29.9,NA,NA,-2.5
1988-02-01,NA,NA,32.7,NA,NA,NA,NA,36.9,NA,34.3,34.3,14.4,28,41.9,22.9,NA,44.5,41,NA,NA,NA,NA,NA,16.9,NA,NA,12.7,NA,NA,NA,NA,28,NA,NA,3
1988-03-01,NA,NA,28.5,NA,NA,NA,NA,32.3,NA,33.4,33.4,14.4,28.7,40,26.5,NA,40.4,42.7,NA,NA,NA,NA,NA,16.7,NA,NA,9.8,NA,NA,NA,NA,22.8,NA,NA,0.5
1988-04-01,NA,NA,25.4,NA,NA,NA,NA,28.1,NA,30.7,30.6,14.4,29.3,33.9,23.7,NA,28,42.6,NA,NA,NA,NA,NA,5.5,NA,NA,13.1,NA,NA,NA,NA,21.8,NA,NA,-4
1988-05-01,NA,NA,19.6,NA,NA,NA,NA,21.2,NA,26.7,26.6,9.5,17.7,32.7,23.3,NA,33.7,42.3,NA,NA,NA,NA,NA,3.8,NA,NA,7.4,NA,NA,NA,NA,15,NA,NA,-5
1988-06-01,NA,NA,19.5,NA,NA,NA,NA,27.4,NA,27.8,27.8,9.5,31.2,29.2,24.8,NA,32.4,39.7,NA,NA,NA,NA,NA,6,NA,NA,7.3,NA,NA,NA,NA,14.1,NA,NA,-7
1988-07-01,NA,NA,20.6,NA,NA,NA,NA,27.4,NA,29.9,29.8,9.5,34.2,32.8,24.5,NA,30.8,39.9,NA,NA,NA,NA,NA,10.6,NA,NA,6.7,NA,NA,NA,NA,14.2,NA,NA,-6
1988-08-01,NA,NA,21.1,NA,NA,NA,NA,34.3,NA,30.1,30.2,9.5,34.2,33.1,19.1,NA,29.4,39.9,NA,NA,NA,NA,NA,8.6,NA,NA,12,NA,NA,NA,NA,16.8,NA,NA,-5.5
1988-09-01,NA,NA,21.7,NA,NA,NA,NA,41.1,NA,28.9,29.2,9.5,35.1,31.5,21.3,NA,31.1,36.1,NA,NA,NA,NA,NA,13.8,NA,NA,7.6,NA,NA,NA,NA,13.2,NA,NA,-8.5
1988-10-01,NA,NA,14.7,NA,NA,NA,NA,35,NA,24,24.3,9.5,30.1,22.3,18.1,NA,30.7,36.5,NA,NA,NA,NA,NA,5.9,NA,NA,3.2,NA,NA,NA,NA,11.5,NA,NA,-2.5
1988-11-01,NA,NA,9.8,NA,NA,NA,NA,37.3,NA,20.8,21.2,-1.4,13.9,24.1,20.3,NA,21.1,33.8,NA,NA,NA,NA,NA,5.3,NA,NA,2.5,NA,NA,NA,NA,16.6,NA,NA,-0.5
1988-12-01,NA,NA,10.2,NA,NA,NA,NA,42.8,NA,22.4,22.9,-1.4,18.2,26,18.4,NA,18.8,35.1,NA,NA,NA,NA,NA,5.4,NA,NA,4.2,NA,NA,NA,NA,15.6,NA,NA,1
1989-01-01,NA,NA,11.3,NA,NA,NA,NA,34.9,NA,17.8,18.2,-1.4,9.4,23.2,20.8,NA,19.9,28.6,NA,NA,NA,NA,NA,1.5,NA,NA,4.5,NA,NA,NA,NA,11.6,NA,NA,-2
1989-02-01,NA,NA,12.2,NA,NA,NA,NA,29.6,NA,22,22.2,-1.4,19.6,25.7,19.2,NA,21.5,33.3,NA,NA,NA,NA,NA,2.1,NA,NA,3,NA,NA,NA,NA,15,NA,NA,-5
1989-03-01,NA,NA,6.2,NA,NA,NA,NA,37.9,NA,18.6,19,-1.4,13.7,21.7,16.8,NA,22.4,32.6,NA,NA,NA,NA,NA,1.1,NA,NA,3.7,NA,NA,NA,NA,10.1,NA,NA,-3
1989-04-01,NA,NA,8.5,NA,NA,NA,NA,31.6,NA,16.7,17.1,-1.4,9.3,16.6,16.8,NA,22.1,35,NA,NA,NA,NA,NA,0.8,NA,NA,3.4,NA,NA,NA,NA,10.3,NA,NA,-4.5
